Contents of each line are: path width, path height, path speed, offset height, tip, PSI, sample number 
1.0, 1.4, 10.0, 5.0, 0.016, 70.0, 1
1.0, 1.4, 10.0, 5.0, 0.016, 70.0, 2
1.0, 1.4, 10.0, 5.0, 0.016, 70.0, 3
1.0, 0.9, 12.0, 3.0, 0.016, 70.0, 4
1.0, 2.4, 8.0, 10.0, 0.016, 70.0, 5
1.0, 0.8, 10.0, 3.0, 0.016, 70.0, 6
1.0, 0.82, 10.0, 3.0, 0.016, 70.0, 7
1.0, 0.85, 10.0, 3.0, 0.016, 70.0, 8
1.0, 0.92, 15.0, 4.0, 0.016, 70.0, 9
2.5, 1.2, 10.0, 8.0, 0.016, 70.0, 10
1.0, 1.0, 15.0, 4.0, 0.016, 70.0, 11
2.0, 1.4, 10.0, 10.0, 0.0016, 70.0, 12
2.0, 1.5, 10.0, 20.0, 0.0016, 70.0, 13
2.0, 1.6, 10.0, 30.0, 0.0016, 70.0, 14
0.9, 0.8, 20.0, 3.0, 0.0016, 70.0, 15
2.0, 0.7, 20.0, 5.0, 0.0016, 70.0, 16
1.5, 1.3, 20.0, 8.0, 0.0016, 70.0, 17
1.5, 1.0, 20.0, 8.0, 0.0016, 70.0, 18
1.25, 1.4, 20.0, 8.0, 0.0016, 70.0, 19
1.5, 0.8, 20.0, 8.0, 0.0016, 70.0, 20
1.25, 1.0, 20.0, 8.0, 0.0016, 70.0, 21
1.25, 0.8, 20.0, 8.0, 0.0016, 70.0, 22
0.5, 2.7, 20.0, 8.0, 0.0016, 70.0, 23
1.25, 1.0, 20.0, 4.0, 0.0016, 70.0, 24
1.0, 1.4, 30.0, 5.0, 0.0016, 70.0, 25
1.0, 1.3, 30.0, 5.0, 0.0016, 70.0, 26
1.5, 0.5, 20.0, 8.0, 0.0016, 70.0, 27
0.5, 1.8, 30.0, 8.0, 0.0016, 70.0, 28
0.5, 1.0, 30.0, 8.0, 0.0016, 70.0, 29
0.5, 1.8, 30.0, 8.0, 0.0016, 70.0, 30
0.5, 1.0, 30.0, 8.0, 0.0016, 70.0, 31
1.0, 0.8, 50.0, 4.0, 0.0016, 70.0, 32
1.5, 1.4, 30.0, 5.0, 0.0016, 70.0, 33
1.0, 0.4, 50.0, 4.0, 0.0016, 70.0, 34
1.0, 0.8, 50.0, 4.0, 0.0016, 70.0, 35
1.0, 0.4, 50.0, 4.0, 0.0016, 70.0, 36
1.5, 1.0, 30.0, 5.0, 0.0016, 70.0, 37
1.0, 0.4, 50.0, 3.0, 0.0016, 70.0, 38
1.5, 0.4, 30.0, 5.0, 0.0016, 70.0, 39
1.0, 0.6, 50.0, 3.0, 0.0016, 70.0, 40
1.5, 0.8, 30.0, 5.0, 0.0016, 70.0, 41
0.9, 0.5, 10.0, 3.0, 0.001, 70.0, 42
0.5, 1.6, 40.0, 6.0, 0.0016, 70.0, 43
0.5, 1.6, 10.0, 6.0, 0.0016, 70.0, 44
0.5, 1.6, 40.0, 6.0, 0.0016, 70.0, 45
1.0, 0.5, 10.0, 6.0, 0.01, 70.0, 46
1.0, 0.5, 10.0, 8.0, 0.01, 70.0, 47
5.0, 0.6, 10.0, 4.0, 0.01, 70.0, 48
1.0, 0.6, 10.0, 4.0, 0.01, 70.0, 49
1.8, 0.8, 20.0, 4.0, 0.023, 70.0, 50
1.8, 0.8, 20.0, 4.0, 0.023, 70.0, 51
1.8, 1.0, 20.0, 4.0, 0.023, 70.0, 52
1.8, 1.0, 10.0, 4.0, 0.023, 70.0, 53
2.0, 0.8, 5.0, 10.0, 0.01, 70.0, 54
2.0, 0.8, 5.0, 10.0, 0.01, 70.0, 55
2.0, 0.8, 5.0, 20.0, 0.01, 70.0, 56
